time,name,x,y,z,a,b,c,w
1604041298.2009999752,husky,7.3193850517272949219,0.5167878270149230957,4.103107452392578125,-0.0091308560222387313843,0.66925251483917236328,-0.0089670186862349510193,0.74292278289794921875
1604041298.2090001106,husky,7.3191266059875488281,0.51704984903335571289,4.107666015625,-0.0091425748541951179504,0.66925859451293945313,-0.0095044616609811782837,0.74291068315505981445
1604041298.2170000076,husky,7.3184838294982910156,0.51706063747406005859,4.1118907928466796875,-0.0092161726206541061401,0.66895508766174316406,-0.0094340033829212188721,0.74318408966064453125
1604041298.2260000706,husky,7.3177161216735839844,0.51676905155181884766,4.1158008575439453125,-0.0091023594141006469727,0.66854995489120483398,-0.0088258329778909683228,0.74355679750442504883
1604041298.2339999676,husky,7.3171596527099609375,0.51679253578186035156,4.1198248863220214844,-0.0090605784207582473755,0.6681817173957824707,-0.0088612930849194526672,0.74388808012008666992
1604041298.2430000305,husky,7.3170080184936523438,0.51710188388824462891,4.1240630149841308594,-0.0089290123432874679565,0.6681092381477355957,-0.0095213847234845161438,0.74394631385803222656
1604041298.2509999275,husky,7.3163661956787109375,0.51678580045700073242,4.1279768943786621094,-0.0087817180901765823364,0.66759836673736572266,-0.0090129282325506210327,0.74441170692443847656
1604041298.2590000629,husky,7.3161878585815429688,0.51700234413146972656,4.1321935653686523438,-0.0087096840143203735352,0.6674448847770690918,-0.009552412666380405426,0.74454337358474731445
1604041298.2679998875,husky,7.3160037994384765625,0.51719206571578979492,4.1363606452941894531,-0.008697749115526676178,0.66723662614822387695,-0.0099646206945180892944,0.74472546577453613281
1604041298.2760000229,husky,7.3152995109558105469,0.51694941520690917969,4.1402983665466308594,-0.0086600231006741523743,0.66664743423461914063,-0.0091151939705014228821,0.74526232481002807617
1604041298.2880001068,husky,7.3148937225341796875,0.51688718795776367188,4.1451416015625,-0.0086741475388407707214,0.66628211736679077148,-0.0090772248804569244385,0.74559015035629272461
1604041298.2969999313,husky,7.3142771720886230469,0.51678037643432617188,4.1497702598571777344,-0.0087498538196086883545,0.66570323705673217773,-0.0085451509803533554077,0.74611222743988037109
1604041298.3080000877,husky,7.313507080078125,0.51646381616592407227,4.1547923088073730469,-0.0088373590260744094849,0.66502588987350463867,-0.0078754471614956855774,0.7467219233512878418
1604041298.3159999847,husky,7.3127651214599609375,0.51637899875640869141,4.1596584320068359375,-0.0086390273645520210266,0.66456127166748046875,-0.0074620540253818035126,0.74714273214340209961
1604041298.3259999752,husky,7.3121891021728515625,0.51673477888107299805,4.1644229888916015625,-0.0084793707355856895447,0.6642258763313293457,-0.0075107947923243045807,0.74744331836700439453
1604041298.3359999657,husky,7.3114638328552246094,0.51673233509063720703,4.1692595481872558594,-0.0084056574851274490356,0.66385811567306518555,-0.007595637347549200058,0.74777054786682128906
1604041298.3440001011,husky,7.3109197616577148438,0.51678711175918579102,4.17389678955078125,-0.0082392608746886253357,0.66367810964584350586,-0.0077136084437370300293,0.74793154001235961914
1604041298.3519999981,husky,7.3105182647705078125,0.51691484451293945313,4.1783885955810546875,-0.008066327311098575592,0.66355288028717041016,-0.0078682526946067810059,0.74804335832595825195
1604041298.361000061,husky,7.3100152015686035156,0.51685196161270141602,4.1826381683349609375,-0.0080521944910287857056,0.66327899694442749023,-0.0076936027035117149353,0.74828827381134033203
1604041298.368999958,husky,7.3093857765197753906,0.51684176921844482422,4.1866321563720703125,-0.0080816261470317840576,0.66300320625305175781,-0.0075836451724171638489,0.74853360652923583984
1604041298.3800001144,husky,7.3091282844543457031,0.51708734035491943359,4.1909656524658203125,-0.0081599140539765357971,0.66281229257583618164,-0.0077343089506030082703,0.7487004399299621582
1604041298.3880000114,husky,7.3089504241943359375,0.51744300127029418945,4.1955776214599609375,-0.0078466339036822319031,0.66274309158325195313,-0.0080507891252636909485,0.74876153469085693359
1604041298.3959999084,husky,7.3084230422973632813,0.51748776435852050781,4.1998457908630371094,-0.0077109057456254959106,0.66245627403259277344,-0.0079900939017534255981,0.74901729822158813477
1604041298.4040000439,husky,7.3079557418823242188,0.51739597320556640625,4.2038817405700683594,-0.0077170487493276596069,0.66216564178466796875,-0.0078279096633195877075,0.74927592277526855469
1604041298.4119999409,husky,7.3074789047241210938,0.5172583460807800293,4.2079701423645019531,-0.0078200157731771469116,0.66201478242874145508,-0.0077453339472413063049,0.74940925836563110352
1604041298.4210000038,husky,7.3071608543395996094,0.51725685596466064453,4.2119321823120117188,-0.0079213827848434448242,0.66195952892303466797,-0.0077645569108426570892,0.74945700168609619141
1604041298.4289999008,husky,7.306793212890625,0.51717078685760498047,4.2158536911010742188,-0.0080520156770944595337,0.6618836522102355957,-0.0077866781502962112427,0.7495225071907043457
1604041298.4379999638,husky,7.3063907623291015625,0.51717221736907958984,4.2196536064147949219,-0.0080803791061043739319,0.6617533564567565918,-0.007632191292941570282,0.7496388554573059082
1604041298.4460000992,husky,7.3060736656188964844,0.51727074384689331055,4.2235713005065917969,-0.0080939093604683876038,0.66180884838104248047,-0.0078190751373767852783,0.74958777427673339844
1604041298.4539999962,husky,7.3057398796081542969,0.51728498935699462891,4.2276124954223632813,-0.0081832092255353927612,0.66181659698486328125,-0.0080363433808088302612,0.74957764148712158203
1604041298.4630000591,husky,7.3049893379211425781,0.517192840576171875,4.2312722206115722656,-0.0080609843134880065918,0.66153359413146972656,-0.0076287044212222099304,0.74983239173889160156
1604041298.4709999561,husky,7.3043355941772460938,0.51715749502182006836,4.2351679801940917969,-0.0079872049391269683838,0.66133207082748413086,-0.0075371693819761276245,0.75001198053359985352
1604041298.4790000916,husky,7.3038930892944335938,0.51728105545043945313,4.2392363548278808594,-0.0079863145947456359863,0.66132336854934692383,-0.0078916540369391441345,0.75001597404479980469
1604041298.4879999161,husky,7.3032355308532714844,0.51737707853317260742,4.2431025505065917969,-0.007998402230441570282,0.66119742393493652344,-0.0080073047429323196411,0.750125885009765625
1604041298.4960000515,husky,7.302520751953125,0.51723760366439819336,4.2469058036804199219,-0.0080228401347994804382,0.66092336177825927734,-0.007830555550754070282,0.75036889314651489258
1604041298.5039999485,husky,7.3019723892211914063,0.51719361543655395508,4.2508831024169921875,-0.0081140408292412757874,0.6608555912971496582,-0.0077134631574153900146,0.75042897462844848633
1604041298.5130000114,husky,7.3016486167907714844,0.51733601093292236328,4.2549443244934082031,-0.0081231724470853805542,0.66089081764221191406,-0.007904031313955783844,0.75039595365524291992
1604041298.5209999084,husky,7.3012332916259765625,0.51733040809631347656,4.2589287757873535156,-0.0081986496224999427795,0.66087955236434936523,-0.0079061044380068778992,0.75040519237518310547
