点名,X坐标,Y坐标,H高程,日期,时间
TS0001,-0.0000,0.0000,0.0000,2020-10-30,10:22:2.050
TS0002,11.4326,0.0000,-0.3573,2020-10-30,10:22:48.310
TS,3.3643,4.7198,1.1268,2020-10-30,10:22:52.690
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:58.060
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:28:58.200
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:58.310
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:58.440
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:28:58.550
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:28:58.680
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:28:58.810
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:28:58.930
TS_Auto_41,10.9948,2.7491,-0.4408,2020-10-30,10:28:59.040
TS_Auto_41,10.9947,2.7491,-0.4407,2020-10-30,10:28:59.150
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:28:59.260
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:28:59.370
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:59.480
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:28:59.600
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:59.840
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:28:59.970
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:0.090
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:0.260
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:0.360
TS_Auto_41,10.9948,2.7492,-0.4407,2020-10-30,10:29:0.540
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:0.650
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:0.750
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:0.870
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:1.020
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:1.140
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:1.250
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:1.360
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:1.470
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:1.580
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:1.720
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:1.880
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:2.050
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:29:2.180
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:2.320
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:2.450
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:29:2.620
TS_Auto_41,10.9951,2.7491,-0.4408,2020-10-30,10:29:2.750
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:2.930
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:3.070
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:3.290
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:3.560
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:3.690
TS_Auto_41,10.9948,2.7491,-0.4408,2020-10-30,10:29:3.860
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:4.040
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:4.170
TS_Auto_41,10.9951,2.7491,-0.4408,2020-10-30,10:29:4.280
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:4.460
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:4.590
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:4.710
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:4.850
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:4.980
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:5.100
TS_Auto_41,10.9952,2.7490,-0.4408,2020-10-30,10:29:5.230
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:5.350
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:5.450
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:5.560
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:5.670
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:5.780
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:5.920
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:6.060
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:6.230
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:29:6.350
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:6.470
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:6.640
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:6.770
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:6.940
TS_Auto_41,10.9950,2.7491,-0.4408,2020-10-30,10:29:7.060
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:7.160
TS_Auto_41,10.9950,2.7489,-0.4408,2020-10-30,10:29:7.270
TS_Auto_41,10.9950,2.7491,-0.4407,2020-10-30,10:29:7.470
TS_Auto_41,10.9949,2.7491,-0.4408,2020-10-30,10:29:7.590
TS_Auto_41,10.9952,2.7491,-0.4408,2020-10-30,10:29:7.720
TS_Auto_41,10.9951,2.7490,-0.4408,2020-10-30,10:29:7.910
TS_Auto_41,10.9950,2.7490,-0.4408,2020-10-30,10:29:8.010
TS_Auto_41,10.9949,2.7489,-0.4407,2020-10-30,10:29:8.150
TS_Auto_41,10.9949,2.7488,-0.4407,2020-10-30,10:29:8.290
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:8.470
TS_Auto_41,10.9950,2.7489,-0.4408,2020-10-30,10:29:8.610
TS_Auto_41,10.9950,2.7491,-0.4407,2020-10-30,10:29:8.770
TS_Auto_41,10.9948,2.7490,-0.4408,2020-10-30,10:29:8.880
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:9.020
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:9.150
TS_Auto_41,10.9950,2.7490,-0.4408,2020-10-30,10:29:9.260
TS_Auto_41,10.9947,2.7490,-0.4407,2020-10-30,10:29:9.440
TS_Auto_41,10.9950,2.7490,-0.4407,2020-10-30,10:29:9.560
TS_Auto_41,10.9949,2.7489,-0.4406,2020-10-30,10:29:9.670
TS_Auto_41,10.9950,2.7491,-0.4407,2020-10-30,10:29:9.880
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:29:10.030
TS_Auto_41,10.9949,2.7491,-0.4407,2020-10-30,10:29:10.150
TS_Auto_41,10.9947,2.7489,-0.4406,2020-10-30,10:29:10.260
TS_Auto_41,10.9950,2.7488,-0.4406,2020-10-30,10:29:10.370
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:10.480
TS_Auto_41,10.9949,2.7490,-0.4406,2020-10-30,10:29:10.660
TS_Auto_41,10.9948,2.7491,-0.4407,2020-10-30,10:29:10.770
TS_Auto_41,10.9950,2.7490,-0.4406,2020-10-30,10:29:10.890
TS_Auto_41,10.9949,2.7490,-0.4405,2020-10-30,10:29:11.030
TS_Auto_41,10.9949,2.7490,-0.4406,2020-10-30,10:29:11.140
TS_Auto_41,10.9951,2.7489,-0.4406,2020-10-30,10:29:11.280
TS_Auto_41,10.9949,2.7490,-0.4406,2020-10-30,10:29:11.400
TS_Auto_41,10.9949,2.7490,-0.4406,2020-10-30,10:29:11.540
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:11.640
TS_Auto_41,10.9947,2.7491,-0.4405,2020-10-30,10:29:11.960
TS_Auto_41,10.9950,2.7490,-0.4406,2020-10-30,10:29:12.220
TS_Auto_41,10.9951,2.7490,-0.4406,2020-10-30,10:29:12.340
TS_Auto_41,10.9950,2.7490,-0.4406,2020-10-30,10:29:12.560
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:12.670
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:12.810
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:12.910
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:13.020
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:13.160
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:13.300
TS_Auto_41,10.9949,2.7491,-0.4406,2020-10-30,10:29:13.510
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:13.630
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:13.750
TS_Auto_41,10.9950,2.7491,-0.4406,2020-10-30,10:29:13.910
TS_Auto_41,10.9948,2.7491,-0.4405,2020-10-30,10:29:14.050
TS_Auto_41,10.9951,2.7492,-0.4403,2020-10-30,10:29:14.190
TS_Auto_41,10.9949,2.7492,-0.4400,2020-10-30,10:29:14.340
TS_Auto_41,10.9949,2.7494,-0.4394,2020-10-30,10:29:14.550
TS_Auto_41,11.0010,2.7448,-0.3588,2020-10-30,10:29:14.690
TS_Auto_41,11.0138,2.7358,-0.1925,2020-10-30,10:29:14.840
TS_Auto_41,11.0175,2.7317,-0.1563,2020-10-30,10:29:14.980
TS_Auto_41,11.0476,2.6992,0.0335,2020-10-30,10:29:15.120
TS_Auto_41,11.0653,2.6721,0.1316,2020-10-30,10:29:15.300
TS_Auto_41,11.0800,2.6505,0.2007,2020-10-30,10:29:15.440
TS_Auto_41,11.0840,2.6435,0.2226,2020-10-30,10:29:15.570
TS_Auto_41,11.0934,2.6212,0.2866,2020-10-30,10:29:15.670
TS_Auto_41,11.1103,2.5805,0.3967,2020-10-30,10:29:15.900
TS_Auto_41,11.1222,2.5476,0.4872,2020-10-30,10:29:16.040
TS_Auto_41,11.1341,2.5182,0.5726,2020-10-30,10:29:16.150
TS_Auto_41,11.1365,2.5120,0.5896,2020-10-30,10:29:16.260
TS_Auto_41,11.1415,2.4992,0.6157,2020-10-30,10:29:16.390
TS_Auto_41,11.1544,2.4643,0.6415,2020-10-30,10:29:16.510
