点名,X坐标,Y坐标,H高程,日期,时间
TS0001,0.0000,0.0000,0.0000,2020-10-30,10:42:57.290
TS0002,9.2947,-0.0000,-0.5740,2020-10-30,10:43:12.750
TS,2.3398,4.9009,1.0122,2020-10-30,10:43:16.270
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:43:53.040
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:53.220
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:53.410
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:53.540
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:53.650
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:43:53.790
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:53.900
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:54.020
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:54.160
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:54.390
TS_Auto_43,10.0403,3.0525,-0.5646,2020-10-30,10:43:54.490
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:54.610
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:54.720
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:54.890
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:54.990
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:55.100
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:55.220
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:43:55.370
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:55.570
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:55.670
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:55.850
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:55.960
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:43:56.100
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:43:56.230
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:56.350
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:56.470
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:43:56.620
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:56.850
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:43:56.970
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:57.080
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:43:57.240
TS_Auto_43,10.0405,3.0523,-0.5646,2020-10-30,10:43:57.370
TS_Auto_43,10.0409,3.0524,-0.5645,2020-10-30,10:43:57.490
TS_Auto_43,10.0406,3.0521,-0.5646,2020-10-30,10:43:57.600
TS_Auto_43,10.0409,3.0524,-0.5644,2020-10-30,10:43:57.710
TS_Auto_43,10.0405,3.0525,-0.5645,2020-10-30,10:43:57.910
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:43:58.040
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:58.250
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:43:58.410
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:58.570
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:58.680
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:58.850
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:58.980
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:59.090
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:43:59.200
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:43:59.310
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:43:59.430
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:59.550
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:43:59.660
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:59.860
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:43:59.970
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:44:0.080
TS_Auto_43,10.0401,3.0525,-0.5645,2020-10-30,10:44:0.230
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:0.370
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:0.480
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:0.640
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:0.760
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:0.860
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:1.000
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:1.100
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:1.230
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:1.390
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:1.520
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:1.640
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:1.810
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:1.950
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:2.130
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:2.250
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:2.380
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:2.510
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:2.620
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:2.740
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:3.020
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:3.140
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:3.630
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:3.850
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:3.970
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:4.120
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:4.250
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:4.380
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:4.630
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:4.760
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:4.860
TS_Auto_43,10.0402,3.0525,-0.5646,2020-10-30,10:44:5.000
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:5.270
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:5.390
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:5.570
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:5.710
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:5.890
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:6.010
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:6.220
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:6.340
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:6.470
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:6.580
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:6.680
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:44:6.830
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:6.970
TS_Auto_43,10.0403,3.0525,-0.5645,2020-10-30,10:44:7.090
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:7.250
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:7.360
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:7.460
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:7.650
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:7.760
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:7.880
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:7.990
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:8.140
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:8.260
TS_Auto_43,10.0403,3.0525,-0.5646,2020-10-30,10:44:8.400
TS_Auto_43,10.0402,3.0525,-0.5645,2020-10-30,10:44:8.810
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:8.930
TS_Auto_43,10.0402,3.0524,-0.5646,2020-10-30,10:44:9.060
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:9.190
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:9.360
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:9.470
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:9.870
TS_Auto_43,10.0403,3.0524,-0.5646,2020-10-30,10:44:10.030
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:10.130
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:10.270
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:10.410
TS_Auto_43,10.0404,3.0524,-0.5646,2020-10-30,10:44:10.580
TS_Auto_43,10.0403,3.0524,-0.5645,2020-10-30,10:44:10.750
TS_Auto_43,10.0404,3.0524,-0.5645,2020-10-30,10:44:10.860
TS_Auto_43,10.0402,3.0524,-0.5645,2020-10-30,10:44:11.000
