1564664523.38813	4000011.44461514	1194401.89675444	4806389.04113189	1564664523.38813	1564664523.38813	1564664523.38813	1564664523.38813
1564664523.41487	4000011.44273740	1194401.89619374	4806389.03886039	1564664523.41487	1564664523.41487	1564664523.41487	1564664523.41487
1564664523.46392	4000011.43898190	1194401.89507236	4806389.03431740	1564664523.46392	1564664523.46392	1564664523.46392	1564664523.46392
1564664523.51485	4000011.44211148	1194401.89600685	4806389.03810323	1564664523.51485	1564664523.51485	1564664523.51485	1564664523.51485
1564664523.57382	4000011.43960782	1194401.89525925	4806389.03507457	1564664523.57382	1564664523.57382	1564664523.57382	1564664523.57382
1564664523.61333	4000011.44085965	1194401.89563305	4806389.03658890	1564664523.61333	1564664523.61333	1564664523.61333	1564664523.61333
1564664523.66304	4000011.44336331	1194401.89638064	4806389.03961756	1564664523.66304	1564664523.66304	1564664523.66304	1564664523.66304
1564664523.71445	4000011.44023373	1194401.89544615	4806389.03583173	1564664523.71445	1564664523.71445	1564664523.71445	1564664523.71445
1564664523.77564	4000011.43647824	1194401.89432476	4806389.03128874	1564664523.77564	1564664523.77564	1564664523.77564	1564664523.77564
1564664523.81434	4000011.43773007	1194401.89469856	4806389.03280307	1564664523.81434	1564664523.81434	1564664523.81434	1564664523.81434
1564664523.86289	4000011.43585232	1194401.89413787	4806389.03053158	1564664523.86289	1564664523.86289	1564664523.86289	1564664523.86289
1564664523.91392	4000011.43460049	1194401.89376407	4806389.02901725	1564664523.91392	1564664523.91392	1564664523.91392	1564664523.91392
1564664523.97334	4000011.43334866	1194401.89339027	4806389.02750292	1564664523.97334	1564664523.97334	1564664523.97334	1564664523.97334
1564664524.01340	4000011.43272275	1194401.89320337	4806389.02674575	1564664524.01340	1564664524.01340	1564664524.01340	1564664524.01340
1564664524.06311	4000011.43209683	1194401.89301648	4806389.02598859	1564664524.06311	1564664524.06311	1564664524.06311	1564664524.06311
1564664524.11340	4000011.43397458	1194401.89357717	4806389.02826008	1564664524.11340	1564664524.11340	1564664524.11340	1564664524.11340
1564664524.17321	4000011.43209683	1194401.89301648	4806389.02598859	1564664524.17321	1564664524.17321	1564664524.17321	1564664524.17321
1564664524.21420	4000011.43334866	1194401.89339027	4806389.02750292	1564664524.21420	1564664524.21420	1564664524.21420	1564664524.21420
1564664524.26441	4000011.43272275	1194401.89320337	4806389.02674575	1564664524.26441	1564664524.26441	1564664524.26441	1564664524.26441
1564664524.31474	4000011.43209683	1194401.89301648	4806389.02598859	1564664524.31474	1564664524.31474	1564664524.31474	1564664524.31474
1564664524.38056	4000011.42708951	1194401.89152129	4806389.01993127	1564664524.38056	1564664524.38056	1564664524.38056	1564664524.38056
1564664524.41293	4000011.42771542	1194401.89170819	4806389.02068843	1564664524.41293	1564664524.41293	1564664524.41293	1564664524.41293
1564664524.46331	4000011.42834134	1194401.89189509	4806389.02144560	1564664524.46331	1564664524.46331	1564664524.46331	1564664524.46331
1564664524.51395	4000011.43084500	1194401.89264268	4806389.02447426	1564664524.51395	1564664524.51395	1564664524.51395	1564664524.51395
1564664524.57483	4000011.42583767	1194401.89114749	4806389.01841694	1564664524.57483	1564664524.57483	1564664524.57483	1564664524.57483
1564664524.61395	4000011.42771542	1194401.89170819	4806389.02068843	1564664524.61395	1564664524.61395	1564664524.61395	1564664524.61395
1564664524.66327	4000011.42708951	1194401.89152129	4806389.01993127	1564664524.66327	1564664524.66327	1564664524.66327	1564664524.66327
1564664524.71491	4000011.42583767	1194401.89114749	4806389.01841694	1564664524.71491	1564664524.71491	1564664524.71491	1564664524.71491
1564664524.77535	4000011.42020443	1194401.88946541	4806389.01160246	1564664524.77535	1564664524.77535	1564664524.77535	1564664524.77535
1564664524.81337	4000011.42270810	1194401.89021300	4806389.01463112	1564664524.81337	1564664524.81337	1564664524.81337	1564664524.81337
1564664524.86265	4000011.42145627	1194401.88983921	4806389.01311678	1564664524.86265	1564664524.86265	1564664524.86265	1564664524.86265
1564664524.91341	4000011.42145627	1194401.88983921	4806389.01311678	1564664524.91341	1564664524.91341	1564664524.91341	1564664524.91341
1564664524.97326	4000011.41832669	1194401.88890472	4806389.00933096	1564664524.97326	1564664524.97326	1564664524.97326	1564664524.97326
1564664525.01383	4000011.41832669	1194401.88890472	4806389.00933096	1564664525.01383	1564664525.01383	1564664525.01383	1564664525.01383
1564664525.06267	4000011.42083035	1194401.88965231	4806389.01235962	1564664525.06267	1564664525.06267	1564664525.06267	1564664525.06267
1564664525.11385	4000011.41707486	1194401.88853092	4806389.00781663	1564664525.11385	1564664525.11385	1564664525.11385	1564664525.11385
1564664525.17432	4000011.41457119	1194401.88778333	4806389.00478797	1564664525.17432	1564664525.17432	1564664525.17432	1564664525.17432
1564664525.21432	4000011.41394528	1194401.88759643	4806389.00403081	1564664525.21432	1564664525.21432	1564664525.21432	1564664525.21432
1564664525.26340	4000011.41644894	1194401.88834402	4806389.00705947	1564664525.26340	1564664525.26340	1564664525.26340	1564664525.26340
1564664525.31416	4000011.41832669	1194401.88890472	4806389.00933096	1564664525.31416	1564664525.31416	1564664525.31416	1564664525.31416
1564664525.38126	4000011.41394528	1194401.88759643	4806389.00403081	1564664525.38126	1564664525.38126	1564664525.38126	1564664525.38126
1564664525.41443	4000011.41018978	1194401.88647504	4806388.99948782	1564664525.41443	1564664525.41443	1564664525.41443	1564664525.41443
1564664525.46328	4000011.41144162	1194401.88684884	4806389.00100215	1564664525.46328	1564664525.46328	1564664525.46328	1564664525.46328
